GeneID,Base Mean,log2(FC),stdError,Wald stats,Pval,AdjP,% WT
RP23-371B13.4,196.6846974,0.491058265,0.145245159,3.380892482,0.000722508,0.028889174,1.405475461
Abca8a,745.7222923,0.363400269,0.107807891,3.370813276,0.000749466,0.029790405,1.286454355
Cd47,215.3353675,-0.484603502,0.143839311,-3.369061609,0.000754246,0.029790405,0.714693463
Rragd,618.2937055,-0.583881563,0.173268051,-3.36981665,0.000752182,0.029790405,0.667166353
Tjap1,90.35179785,-0.786566064,0.233405214,-3.369959266,0.000751793,0.029790405,0.579722319
Tmem130,1034.391193,-0.349924783,0.104084471,-3.361930735,0.000773995,0.030477538,0.784625004
Ctxn1,207.6369321,-0.544215802,0.161965387,-3.360074721,0.000779214,0.030590051,0.685764058
Osbpl8,597.6214099,-0.260006943,0.07753932,-3.353227014,0.000798752,0.031262319,0.835083901
Stra6,134.99726,0.692639643,0.20682211,3.348963238,0.000811146,0.03165178,1.616237982
Fmr1,368.3471355,0.370133413,0.110627175,3.345772976,0.000820535,0.031922033,1.292472346
Col24a1,144.2788565,0.773072804,0.231258797,3.342890372,0.000829106,0.032158905,1.708905718
Ddit4,484.2960839,0.410583451,0.122868227,3.341656831,0.0008328,0.032205726,1.329223266
Kctd8,318.5809783,-0.367241923,0.110034251,-3.337523715,0.000845285,0.032591274,0.775263193
Fads3,404.8979182,-0.327621353,0.098340168,-3.331511025,0.000863759,0.033116209,0.796849208
Pank2,210.3495798,-0.419562589,0.125945178,-3.33131126,0.000864379,0.033116209,0.74765127
RP23-276L18.1,112.3059082,0.613904681,0.184322161,3.330607006,0.000866568,0.033116209,1.530395653
Mrgprx3-ps,151.9906383,-0.494821942,0.149006315,-3.320811895,0.00089756,0.034199679,0.709649258
Dmwd,428.5983873,-0.301253542,0.090757258,-3.319332774,0.000902328,0.034280537,0.811546946
Riok1,80.34529797,0.667463772,0.201522501,3.312105439,0.000925966,0.035075715,1.588278351
Rap1gap2,939.3675408,-0.422946729,0.127768476,-3.310258867,0.000932097,0.035205014,0.745899555
RP24-149G20.1,43.30664151,0.774028688,0.234122462,3.3060847,0.000946095,0.035629822,1.71003836
Fam102b,1774.446549,-0.259951565,0.078653962,-3.305002821,0.000949754,0.035663968,0.835115956
