,Trim on data 8,Trim on data 7,Trim on data 6,Trim on data 5,Trim on data 1,Trim on data 2,Trim on data 3,Trim on data 4
RP23-314I1.1,0.887449874,0,0,1.118089734,0,1.063978897,1.024079934,0
RP23-314K19.1,15.97409773,4.111291213,10.16096125,12.29898707,20.45297444,2.127957794,14.33711907,17.147401
RP23-314M6.1,1.774899747,2.055645606,0,3.354269202,0,3.191936691,5.120399669,1.905266777
RP23-314N18.1,1.837048553,3.546041395,1.274757728,0,4.511326794,3.670781774,0,0
RP23-314N18.2,0,0,0,0,0,0,0,0
RP23-314N18.3,0,0,0,0,0,0,0,0
RP23-314N18.4,2.662349621,1.027822803,3.694894998,0,0,0,0,0.952633389
RP23-314N18.5,0,0,0,0,0,0,0,0
RP23-314N3.1,17.74899747,4.111291213,7.389789997,6.708538404,3.067946167,6.383873382,26.62607828,10.47896727
RP23-314N8.1,0,0,0,0,0,0,0,0
RP23-314O1.1,0.887449874,1.027822803,0.92372375,2.236179468,3.067946167,4.255915588,3.072239801,1.905266777
RP23-315C11.2,0,1.027822803,0,0,2.045297444,0,1.024079934,0.952633389
RP23-315C11.3,0,0,0,1.118089734,0,0,0,0
RP23-315C11.5,0,0,0.92372375,2.236179468,4.090594889,2.127957794,0,0.952633389
RP23-315C11.6,0.887449874,2.055645606,1.847447499,0,0,0,1.024079934,1.905266777
RP23-315C11.7,102.5367391,103.8848901,101.3129216,88.65919649,72.37830239,72.3503681,94.68763037,107.9973819
RP23-315C11.9,76.32068914,90.44840668,90.52492746,103.9823453,71.58541056,88.31024846,97.2875937,68.58960398
RP23-315C15.1,0,0,0,0,0,0,0,0
RP23-315E2.1,0.887449874,1.027822803,1.847447499,1.118089734,0,0,1.024079934,2.857900166
RP23-315E20.1,16.64795461,11.14264011,14.75161132,13.54293471,4.546572632,2.210272564,14.66480863,3.519068393
RP23-315F17.1,0,0,0,1.118089734,0,0,2.048159867,0
RP23-315F2.1,0,0,0,0,0,0,0,0
RP23-315F2.2,0,0,0,0,0,0,0,0
RP23-315F2.3,0,0,0,0,0,0,0,0
RP23-315F23.1,0.887449874,6.166936819,2.771171249,0,1.022648722,1.063978897,3.072239801,2.857900166
RP23-315F3.3,1.774899747,4.111291213,3.694894998,6.708538404,6.135892333,3.191936691,12.2889592,4.763166943
RP23-315F3.4,0.887449874,3.08346841,0,1.118089734,1.022648722,6.383873382,3.072239801,3.810533554
RP23-315F3.5,0,6.166936819,0,1.118089734,1.022648722,0,0,0.952633389
RP23-315F3.6,0.887449874,0,0,1.118089734,1.022648722,0,2.048159867,0
RP23-315H12.7,7.575814677,4.290847193,4.42212921,1.265812648,7.100379308,7.402979791,2.850147902,2.156992155
RP23-315H8.1,0,0,0,0,0,0,0,0
RP23-315I4.2,13.65150054,27.01575073,23.13888611,23.87287494,6.23632212,15.1323321,19.62729982,22.70809844
RP23-315I4.3,0,0,0,0,0,1.063978897,0,0
RP23-315J23.1,0,0,0,0,0,0,0,0
RP23-315J23.2,0,0,0,0,1.022648722,0,0,0
RP23-315J23.3,0.887449874,1.027822803,0,0,0,0,1.024079934,0
RP23-315J23.4,0,0,0,0,0,0,0,0
RP23-316A19.2,0,0,0,0,0,0,0,0
RP23-316A19.6,0,3.08346841,0,1.118089734,0,0,2.048159867,0.952633389
RP23-316A19.7,7.987048864,6.166936819,9.237237496,13.41707681,10.22648722,10.63978897,14.33711907,6.66843372
RP23-316B4.1,4.437249369,4.111291213,3.694894998,6.708538404,3.067946167,5.319894485,6.144479602,4.763166943
RP23-316B4.2,249.1665,214.1908596,178.7874502,166.1100923,214.2132609,244.5684695,219.8693985,183.4490388
RP23-316C11.2,0,0,0,0,0,0,0,0
RP23-316C11.3,0,0,0,0,0,0,0,0
RP23-316C11.4,0,0,0,0,0,0,0,0
RP23-316C11.7,1.86020261,4.163718149,2.698325781,2.177397269,0.99576647,0,2.146595793,2.782774864
RP23-316D8.2,0,1.027822803,0.92372375,0,1.022648722,0,1.024079934,0
RP23-316F10.1,0,0,0,0,1.022648722,0,0,0
RP23-316F10.2,0,0,0,0,0,0,0,0
RP23-316F10.4,0,0,0,0,0,0,0,0
RP23-316F10.6,0,1.027822803,0.92372375,0,0,0,1.024079934,0
RP23-316G7.2,1.774899747,3.08346841,0,0,1.022648722,1.063978897,1.024079934,0
RP23-316J6.2,0,0,0,0,0,0,0,0
RP23-316J6.4,0.887449874,2.055645606,0.92372375,2.236179468,1.022648722,1.063978897,1.024079934,1.905266777
RP23-316J6.5,0,0,0.92372375,5.59044867,1.022648722,0,2.048159867,1.905266777
RP23-316K10.1,1.774899747,4.111291213,0.92372375,2.236179468,3.067946167,0,2.048159867,3.810533554
RP23-316L10.2,2.662349621,4.111291213,4.618618748,6.708538404,2.045297444,4.255915588,10.24079934,6.66843372
RP23-316L10.3,35.91981166,17.70482669,21.47221909,31.73374392,25.33671318,22.03949889,9.453361983,19.24320887
RP23-316M11.10,2.662349621,9.250405229,4.618618748,5.59044867,9.2038385,10.63978897,9.216719403,8.573700498
RP23-316M11.8,34.61054508,29.80686129,24.01681749,41.36932016,22.49827189,27.66345132,18.43343881,23.81583472
RP23-316M14.2,2.662349621,1.027822803,1.847447499,0,0,2.127957794,1.024079934,0.952633389
RP23-316M14.3,0.887449874,0,0.92372375,0,1.022648722,1.063978897,2.048159867,0
RP23-316M14.6,25.8827752,15.32697837,4.553520255,9.443119186,16.45650195,18.83525711,12.37731753,10.85429271
RP23-316M14.9,5.324699242,6.166936819,1.847447499,6.708538404,7.158541056,5.319894485,7.168559536,5.715800332
RP23-316N16.4,0,0,0,0,0,0,0,0
RP23-316N16.8,0,0,0,0,0,0,0,0
RP23-316O20.1,0,0,0,0,0,0,0,0
RP23-316P20.1,0,0,0,0,0,2.127957794,0,0
RP23-317B21.2,0.887449874,1.027822803,0.92372375,3.354269202,1.022648722,5.319894485,3.072239801,6.66843372
RP23-317B21.3,0.654903782,2.718318442,1.221502041,1.650214207,1.509350636,3.434764842,1.354209773,0
RP23-317B21.4,0,0,0.92372375,0,0,0,0,0
RP23-317B9.1,0,0,1.847447499,2.236179468,0,2.127957794,0,0
RP23-317E13.1,0,0,0,0,0,0,0,0
RP23-317E13.4,0,2.055645606,1.847447499,1.118089734,0,0,0,0.952633389
RP23-317E13.5,0,0,0,0,0,0,0,0
RP23-317F9.2,6.948415638,15.22357831,7.816604936,6.579384243,3.008881436,6.566293176,9.09291175,11.88170439
